match_id,match_size,mutual_match,countyid_1,County_name_1,State_1,total_workers2022_1,countyid_2,County_name_2,State_2,total_workers2022_2,countyid_3,County_name_3,State_3,total_workers2022_3,RUCC_2013,Economic_Type_Label,Low_Education_2015_Update,max_labor_force_gap,match_tier
1211,2,True,27081,Lincoln County,MN,2632.8816020041704,19173,Taylor County,IA,2638.5025004781783,,,,,9,Farming,0,5.620898474007845,rucc_econtype_lowed
1212,2,True,20143,Ottawa County,KS,2651.754614420235,38005,Benson County,ND,2723.56990442425,,,,,9,Farming,0,71.81529000401497,rucc_econtype_lowed
1213,2,True,5101,Newton County,AR,2804.5568136479706,27051,Grant County,MN,2806.274113252759,,,,,9,Farming,0,1.7172996047884226,rucc_econtype_lowed
1214,2,True,29045,Clark County,MO,2813.4054067619145,17071,Henderson County,IL,2913.0135995447636,,,,,9,Farming,0,99.60819278284907,rucc_econtype_lowed
1215,2,True,38009,Bottineau County,ND,2913.388795875013,46057,Hamlin County,SD,2932.476016536355,,,,,9,Farming,0,19.087220661342144,rucc_econtype_lowed
1216,2,True,46115,Spink County,SD,3027.0719938725233,31003,Antelope County,NE,3047.668223142624,,,,,9,Farming,0,20.596229270100594,rucc_econtype_lowed
1217,2,True,8021,Conejos County,CO,3095.3011946976185,30005,Blaine County,MT,3130.7472059465945,,,,,9,Farming,0,35.44601124897599,rucc_econtype_lowed
1218,2,True,27073,Lac qui Parle County,MN,3164.2994830956304,19151,Pocahontas County,IA,3241.9774109426,,,,,9,Farming,0,77.6779278469694,rucc_econtype_lowed
1219,2,True,29041,Chariton County,MO,3257.2967982292175,46009,Bon Homme County,SD,3390.4943775199354,,,,,9,Farming,0,133.19757929071784,rucc_econtype_lowed
1220,2,True,19195,Worth County,IA,3499.836224474013,38067,Pembina County,ND,3514.686907052994,,,,,9,Farming,0,14.850682578980923,rucc_econtype_lowed
1221,2,True,46023,Charles Mix County,SD,3545.0625168830156,31139,Pierce County,NE,3547.645213022828,,,,,9,Farming,0,2.5826961398124695,rucc_econtype_lowed
1222,2,True,29137,Monroe County,MO,3675.714898131788,27101,Murray County,MN,3805.833595842123,,,,,9,Farming,0,130.11869771033525,rucc_econtype_lowed
1223,2,True,28015,Carroll County,MS,3837.9881957769394,31027,Cedar County,NE,4058.2911174818873,,,,,9,Farming,0,220.30292170494795,rucc_econtype_lowed
1224,2,True,31107,Knox County,NE,4067.2497798874974,19051,Davis County,IA,4219.605496786535,,,,,9,Farming,0,152.35571689903736,rucc_econtype_lowed
1225,2,True,29111,Lewis County,MO,4252.310404784977,27173,Yellow Medicine County,MN,4490.171022102237,,,,,9,Farming,0,237.8606173172593,rucc_econtype_lowed
1226,2,True,19161,Sac County,IA,4494.444414362311,19025,Calhoun County,IA,4545.615606252388,,,,,9,Farming,0,51.17119189007644,rucc_econtype_lowed
